## Flags ---------------------------------------------------------------------|
## The flags for mail messages are as follows:
## bit 1 - Does not print a message when received
## bit 2 - Message is the same for all player classes

== \#MAIL_FLAG_Intro           | 1
== \#MAIL_FLAG_JamesDefeated   | 2
== \#MAIL_FLAG_MakarovDefeated | 2
== \#MAIL_FLAG_IsaacDefeated   | 2

## Template ------------------------------------------------------------------|
++ \#MAIL_TEMPLATE | Mail_Template.txt
== \#MAIL_INTERNAL | <internal>
== \#MAIL_NOTITLE  | <title omitted>

## All Classes ---------------------------------------------------------------|
++ \#MAIL_BODY_JamesDefeated | Mail/Phantom_James.txt
== \#MAIL_SEND_JamesDefeated | jam0s@g0n0j0t00.1025

++ \#MAIL_BODY_MakarovDefeated | Mail/Phantom_Makarov.txt
== \#MAIL_SEND_MakarovDefeated | mak666v@org.r\.\\\-

++ \#MAIL_BODY_IsaacDefeated | Mail/Phantom_Isaac.txt
== \#MAIL_SEND_IsaacDefeated | isaac@syn.400khz

## Marine --------------------------------------------------------------------|
++ \#MAIL_BODY_IntroStan | Mail/Intro_Marine.txt
== \#MAIL_SEND_IntroStan | ALambert@corp.OFMD
== \#MAIL_TIME_IntroStan | 13:00 25-7-49
== \#MAIL_SIZE_IntroStan | 610

++ \#MAIL_BODY_Cluster1Stan | Mail/Cluster1_Marine.txt
== \#MAIL_SEND_Cluster1Stan | ALambert@corp.OFMD

++ \#MAIL_BODY_Cluster2Stan | Mail/Cluster2_Marine.txt
== \#MAIL_SEND_Cluster2Stan | ALambert@corp.OFMD

++ \#MAIL_BODY_Cluster3Stan | Mail/Cluster3_Marine.txt
== \#MAIL_SEND_Cluster3Stan | ALambert@corp.OFMD

++ \#MAIL_BODY_PhantomStan | Mail/Intro2_Marine.txt
== \#MAIL_SEND_PhantomStan | htic0@gov.<hidden>.mailserv
== \#MAIL_SIZE_PhantomStan | 330

++ \#MAIL_BODY_Secret1Stan | Mail/Secret1_Marine.txt
== \#MAIL_NAME_Secret1Stan | Saved Buffer

++ \#MAIL_BODY_Secret2Stan | Mail/Secret2_Marine.txt
== \#MAIL_NAME_Secret1Stan | Saved Buffer

## Cyber-Mage ----------------------------------------------------------------|
++ \#MAIL_BODY_IntroJem | Mail/Intro_CyberMage.txt
== \#MAIL_NAME_IntroJem | Saved Message
== \#MAIL_SEND_IntroJem | <hidden>@corp.AOF
== \#MAIL_TIME_IntroJem | 13:44 25-7-49
== \#MAIL_SIZE_IntroJem | 288

++ \#MAIL_BODY_Cluster1Jem | Mail/Cluster1_CyberMage.txt
== \#MAIL_NAME_Cluster1Jem | Saved Text 104
== \#MAIL_SIZE_Cluster1Jem | 240

++ \#MAIL_BODY_Cluster2Jem | Mail/Cluster2_CyberMage.txt
== \#MAIL_NAME_Cluster2Jem | Saved Text 152
== \#MAIL_SIZE_Cluster2Jem | 288

++ \#MAIL_BODY_Cluster3Jem | Mail/Cluster3_CyberMage.txt
== \#MAIL_NAME_Cluster3Jem | Saved Text 244
== \#MAIL_SIZE_Cluster3Jem | 218

++ \#MAIL_BODY_PhantomJem | Mail/Intro2_CyberMage.txt
== \#MAIL_SEND_PhantomJem | order@corp.AOF

++ \#MAIL_BODY_Secret1Jem | Mail/Secret1_CyberMage.txt
== \#MAIL_NAME_Secret1Jem | Saved Text 250

++ \#MAIL_BODY_Secret2Jem | Mail/Secret2_CyberMage.txt
== \#MAIL_NAME_Secret2Jem | Saved Text 252

## EOF
