## Health --------------------------------------------------------------------|
== LITH_LOG_HealthBonus | ＨＰボーナス
== LITH_LOG_Medikit     | メディキット
== LITH_LOG_MegaSphere  | メガチャージ！
== LITH_LOG_SoulSphere  | スーパーチャージ！
== LITH_LOG_StimPack    | スティムパック

## Keys ----------------------------------------------------------------------|
== LITH_LOG_RedCard     | \cg赤キーディスク
== LITH_LOG_BlueCard    | \ch青キーディスク
== LITH_LOG_YellowCard  | \ck黄キーディスク
== LITH_LOG_RedSkull    | \cg赤頭蓋骨
== LITH_LOG_BlueSkull   | \ch青頭蓋骨
== LITH_LOG_YellowSkull | \ck黄頭蓋骨

## Powerups ------------------------------------------------------------------|
== LITH_LOG_RadSuit     | 放射線遮蔽スーツ
== LITH_LOG_InfraRed    | ＣＢゴーグル
== LITH_LOG_Invuln      | 不死身!
== LITH_LOG_BlurSphere  | バリア
== LITH_LOG_Backpack    | バックパックと割引カード
== LITH_LOG_Berserk     | ベルセルク
== LITH_LOG_AllMap      | レベルマップ
== LITH_LOG_DoggoSphere | \cgわん\ciわん\ckわん\cdわん\chわん\ctわん
== LITH_LOG_Dogs        | 犬を得た

## Ammo ----------------------------------------------------------------------|
== LITH_LOG_Clip      | ラジオ
== LITH_LOG_ClipBox   | 非特異的弾箱
== LITH_LOG_Shell     | シェル
== LITH_LOG_ShellBox  | シェル箱
== LITH_LOG_Rocket    | ロケット
== LITH_LOG_RocketBox | ロケット箱
== LITH_LOG_Cell      | エナジーチャージ
== LITH_LOG_CellBox   | デーモンエナジーパック

## Bonuses -------------------------------------------------------------------|
== LITH_LOG_Coin       | だま
== LITH_LOG_ScoreChip  | スコアチップ
== LITH_LOG_Ruby       | 欠陥のあるルービ
== LITH_LOG_Sapphire   | 欠陥のあるサファイア
== LITH_LOG_Amethyst   | 欠陥のあるアメジスト
== LITH_LOG_Diamond    | 欠陥のあるダイヤモンド
== LITH_LOG_Emerald    | 欠陥のあるエメラルド
== LITH_LOG_Scheelite  | シェーライト
== LITH_LOG_Nambulite  | ナンブライト
== LITH_LOG_Lepidolite | レピドライト
== LITH_LOG_Petalite   | ペタライト
== LITH_LOG_Tourmaline | トールマリーン

## Level Up ------------------------------------------------------------------|
== LITH_LOG_LevelUpStan | なぜか、強くなっていると感じた。
== LITH_LOG_LevelUpJem  | ［ＩＮＦＯ］ メモリー戻した: %iＫｉＢ
== LITH_LOG_LevelUpFulk | \cj＜\cdＶｉｔａｌ\cj＞\c- ：： %iのｉｎｏｄｅは戻った。
== LITH_LOG_LevelUpAri  | 楽しみにしてる。

## Boss Warnings -------------------------------------------------------------|
%% LITH_LOG_BossWarnStan
\cg警告：このそばにはデーモンエナジーレベルは高すぎます。

%% LITH_LOG_BossWarnJem
\cr［ＷＡＲＮＩＮＧ］ デーモンエナジーレベルはこのそばに不当と上昇する。

%% LITH_LOG_BossWarnFulk
\cj＜\ciＷａｒｎｉｎｇ\cj＞\c- ＬＬ デーモンエナジーレベルは高い。 元を見つけて破壊にせよ。

%% LITH_LOG_BossWarnAri
\cgこのそばに大量のデーモンエナジーは検出された。

== LITH_LOG_BossWarnMod | $LITH_LOG_BossWarnStan

## Misc ----------------------------------------------------------------------|
== LITH_LOG_StartGame | ”%jS”を押してメニューを開く。
== LITH_LOG_MailRecv  | ＜\cj%S\c-＞からメールを受信した。
