== LITH_PICKUP_NUM | 13
== LITH_PICKUP_000 | %Sを得た!
== LITH_PICKUP_001 | ああ、%Sだ。
== LITH_PICKUP_002 | %Sが得ました。
== LITH_PICKUP_003 | うおお、%Sの時間だよ！
== LITH_PICKUP_004 | これは・・%S、だよね？
== LITH_PICKUP_005 | そうだ、%Sよ。
== LITH_PICKUP_006 | マジで？それは・・・%S？
== LITH_PICKUP_007 | %S。やっとに。
== LITH_PICKUP_008 | %S、です。
== LITH_PICKUP_009 | ?? ??? ???? ?? ????????? ???? ??
== LITH_PICKUP_010 | やっと見つけた、新しい%Sは・・
== LITH_PICKUP_011 | %Sがあなたと結婚した。
== LITH_PICKUP_012 | %Sを壊した。
== LITH_PICKUP_013 | 何やってんの！？この%Sは・・・！
