== \#PICKUP_SELL_ORDER | 1
== \#PICKUP_SELL | %lli\cnscr\c-で%Sを売った。
== \#PICKUP_CBI  | %Sはインストールされました。

== \#PICKUP_NUM | 13
== \#PICKUP_000 | %Sを入手した!
== \#PICKUP_001 | おう、%Sだ。
== \#PICKUP_002 | %Sを得た。
== \#PICKUP_003 | ハッハー、%Sの時間だ!!
== \#PICKUP_004 | これは・・・%S、だよな？
== \#PICKUP_005 | そうだ、確か %Sだ。
== \#PICKUP_006 | マジで？こりゃあ・・・%S？
== \#PICKUP_007 | %S。やっときたか。
== \#PICKUP_008 | %S、デース。
== \#PICKUP_009 | ？? ？？? ？？？? ？? ?？?？?？?？? ???? ？?
== \#PICKUP_010 | やっと見つけた、新品の%S・・・
== \#PICKUP_011 | %Sがあなたと結婚した。
== \#PICKUP_012 | %Sを壊した。
== \#PICKUP_013 | 何だこの%Sは・・・！
