/* ---------------------------------------------------------------------------|
 *
 * This file was generated by compilefs.
 * Edit only if you aren't going to recompile.
 *
 * ---------------------------------------------------------------------------|
 *
 * Distributed under the CC0 public domain license.
 * By Alison G. Watson. Attribution is encouraged, though not required.
 * See licenses/cc0.txt for more information.
 *
 * ---------------------------------------------------------------------------|
 */
[en enu default]
"LITH_SHOP_TITLE_RocketAmmo" = "Rocket Ammo";
"LITH_SHOP_DESCR_RocketAmmo" = "Rocket propelled grenades produced by SYM4.3 for your launcher.\n\nDelicious high-yield explosives right at your fingertips.";
"LITH_SHOP_TITLE_PlasmaAmmo" = "Plasma Ammo";
"LITH_SHOP_DESCR_PlasmaAmmo" = "Highly condensed energy cells used by your plasma rifle.\n\nProduced by A.O.F Inc.";
"LITH_SHOP_TITLE_AllMap" = "$LITH_INFO_SHORT_AllMap";
"LITH_SHOP_DESCR_AllMap" = "A map of the area for your Automap. Reveals all locations you have and haven't seen.";
"LITH_SHOP_TITLE_Infrared" = "$LITH_INFO_SHORT_Infrared";
"LITH_SHOP_DESCR_Infrared" = "Light amplifying goggles that let you see in the dark.";
"LITH_SHOP_TITLE_RadSuit" = "$LITH_INFO_SHORT_RadSuit";
"LITH_SHOP_DESCR_RadSuit" = "A radiation shielding suit which lets you walk through hazardous materials.";
"LITH_SHOP_TITLE_ChargeFist" = "$LITH_INFO_SHORT_ChargeFist";
"LITH_SHOP_DESCR_ChargeFist" = "A melee weapon that you can charge.";
"LITH_SHOP_TITLE_Revolver" = "$LITH_INFO_SHORT_Revolver";
"LITH_SHOP_DESCR_Revolver" = "A powerful handgun. Holds 6 bullets.\n\nDoesn't take upgrades.";
"LITH_SHOP_TITLE_LazShotgun" = "$LITH_INFO_SHORT_LazShotgun";
"LITH_SHOP_DESCR_LazShotgun" = "Piercing laser shotgun.\n\nDoesn't take upgrades.";
"LITH_SHOP_TITLE_SniperRifle" = "$LITH_INFO_SHORT_SniperRifle";
"LITH_SHOP_DESCR_SniperRifle" = "Scoped bolt-action rifle.\n\nDoesn't take upgrades.";
"LITH_SHOP_TITLE_MissileLauncher" = "$LITH_INFO_SHORT_MissileLauncher";
"LITH_SHOP_DESCR_MissileLauncher" = "Mini-missile launcher.\n\nDoesn't take upgrades.";
"LITH_SHOP_TITLE_PlasmaDiffuser" = "$LITH_INFO_SHORT_PlasmaDiffuser";
"LITH_SHOP_DESCR_PlasmaDiffuser" = "Classic plasma rifle.\n\nDoesn't take upgrades.";
"LITH_SHOP_TITLE_Gameboy" = "$LITH_INFO_SHORT_Gameboy";
"LITH_SHOP_DESCR_Gameboy" = "A game playing system, containing several old titles.";
"LITH_SHOP_TITLE_DivSigil" = "Div. Sigil";
"LITH_SHOP_DESCR_DivSigil" = "A mistake of the universe.";
"LITH_UPGRADE_TITLE_HeadsUpDisM" = "Heads Up Disp.";
"LITH_UPGRADE_EFFEC_HeadsUpDisM" = "Shows vital information.\n\nA Heads Up Display program built into your Computer/Brain Interface.";
"LITH_UPGRADE_TITLE_HeadsUpDisC" = "$LITH_UPGRADE_TITLE_HeadsUpDisM";
"LITH_UPGRADE_EFFEC_HeadsUpDisC" = "Shows vital information.\n\nA Heads Up Display program.";
"LITH_UPGRADE_TITLE_JetBooster" = "Jet Booster";
"LITH_UPGRADE_EFFEC_JetBooster" = "Lets you press the \"run\" key while in the air to fly for a short time.\n\nJet boosters built into your boots.";
"LITH_UPGRADE_TITLE_ReflexWetw" = "Reflex Wetware";
"LITH_UPGRADE_EFFEC_ReflexWetw" = "Lets you move quicker, easier and more efficiently.\n\nAllows you to double jump by pressing jump mid-air and slide by pressing run.\n\nCybernetic wetware that improves your reflexes and implicit agility.";
"LITH_UPGRADE_TITLE_Zoom" = "Zoom Wetware";
"LITH_UPGRADE_EFFEC_Zoom" = "Allows you to press the zoom keys to zoom in and out.\n\nDrivers for zooming software, which utilizes your eye implants.";
"LITH_UPGRADE_TITLE_Flashlight" = "Flashlight";
"LITH_UPGRADE_EFFEC_Flashlight" = "Allows you to press the flashlight key to turn on a flashlight.\n\nDrivers for flashlight software, which utilizes your armor's built-in lighting.";
"LITH_UPGRADE_TITLE_VitalScan" = "Vital Scanner";
"LITH_UPGRADE_EFFEC_VitalScan" = "While aiming at living things, you can see their health and how much damage is being dealt to them on your HUD.\n\nCustomizable via settings menu.\n\nA set of nanobots are deployed to get vitality information on targets you aim at.";
"LITH_UPGRADE_TITLE_CyberLegs" = "Move Wetware";
"LITH_UPGRADE_EFFEC_CyberLegs" = "Allows you to jump higher and move faster.\n\nDamages enemies landed on.\n\nImproved reflex wetware, which gives an even larger combat advantage.";
"LITH_UPGRADE_TITLE_ReactArmor" = "R. Armor";
"LITH_UPGRADE_EFFEC_ReactArmor" = "Makes your armor react to being hit, switching its mode to the type of damage you took, mitigating any further damage of that type.\n\nIntegrate your armor with a highly advanced Yh-0 reactive plating system, made by avians on Durla Prime.";
"LITH_UPGRADE_TITLE_ReactArmor2" = "R. Armor 2";
"LITH_UPGRADE_EFFEC_ReactArmor2" = "Improves the damage resistance of the Reactive Armor.\n\nUpgrades the Yh0 plating system, reducing damage taken twice over.";
"LITH_UPGRADE_TITLE_DefenseNuke" = "Def. Mini Nuke";
"LITH_UPGRADE_EFFEC_DefenseNuke" = "When you enter a level, sets off a huge explosion, defending you from initial threats.\n\nImplant a slow-charging self-defense explosive into your armor, keeping threats away while you're distracted.\n\n\cgThis alerts monsters when you enter a map.";
"LITH_UPGRADE_TITLE_Adrenaline" = "Adrenaline Inj.";
"LITH_UPGRADE_EFFEC_Adrenaline" = "When being targeted by enemies or nearing a projectile, time will stop for one second.\n\nNeeds to be charged for 30 seconds to activate.\n\nImplants an adrenaline injector into your skin, which reacts to sudden impulses and sound cues.";
"LITH_UPGRADE_TITLE_Magic" = "Mana Absorber";
"LITH_UPGRADE_EFFEC_Magic" = "Killed enemies will drop mana.\n\nEnables mana display on the HUD.";
"LITH_UPGRADE_TITLE_SoulCleaver" = "Soul Cleaver";
"LITH_UPGRADE_EFFEC_SoulCleaver" = "When living things die, they emit a projectile that will seek other enemies for a short time.\n\nCreates an artificial soul on your targets and makes it destroy their neighbors.";
"LITH_UPGRADE_TITLE_StealthSys" = "Stealth System";
"LITH_UPGRADE_EFFEC_StealthSys" = "Makes you gradually fade out when still, giving you partial invisibility from enemies, and generally harder to aim at.";
"LITH_UPGRADE_TITLE_AutoReload" = "Auto Reload";
"LITH_UPGRADE_EFFEC_AutoReload" = "Weapons in your inventory automatically reload after 5 seconds.\n\nAutomated reloading system for your backpack.";
"LITH_UPGRADE_TITLE_AutoPistol" = "Auto Pistol";
"LITH_UPGRADE_EFFEC_AutoPistol" = "Makes your pistol fire in full auto.\n\nSimply changes the trigger mechanism a bit to make the pistol fire automatically.\n\n\cdCompatible with Plasma Pistol.";
"LITH_UPGRADE_TITLE_PlasPistol" = "Plasma Pistol";
"LITH_UPGRADE_EFFEC_PlasPistol" = "Makes your pistol fire strong plasma.\n\nChanges the internal mechanisms of the gun to fire charged plasma.\n\n\cdCompatible with Auto Pistol.";
"LITH_UPGRADE_TITLE_PoisonShot" = "Poison Shot";
"LITH_UPGRADE_EFFEC_PoisonShot" = "Makes your shotgun fire poison pellets that do 10 damage every half-second after hitting a target.\n\nInstalls a poison injector into the shell loading mechanism.";
"LITH_UPGRADE_TITLE_GaussShotty" = "Gauss Rifle";
"LITH_UPGRADE_EFFEC_GaussShotty" = "Turns your shotgun into a gauss rifle.\n\nRe-build the internal mechanisms to turn the railgun part of your shotgun into a new one, removing the shell loader entirely.";
"LITH_UPGRADE_TITLE_RifleModes" = "Modal Rifle";
"LITH_UPGRADE_EFFEC_RifleModes" = "Gives your rifle a sniper firing mode.\n\nA complete replacement for the trigger mechanism which adds a third mode, allowing you to burst-fire accurate, painful shots.\n\n\cdCompatible with Laser Rifle.";
"LITH_UPGRADE_TITLE_LaserRCW" = "Laser Rifle";
"LITH_UPGRADE_EFFEC_LaserRCW" = "Makes your rifle fire penetrating lasers.\n\nModal Rifle may be used with this upgrade.\n\nUses a standard photon accelerator to fire lasers out of your rifle.\n\n\cdCompatible with Modal Rifle.";
"LITH_UPGRADE_TITLE_HomingRPG" = "Homing Rocket";
"LITH_UPGRADE_EFFEC_HomingRPG" = "Pressing alt-fire with the rocket launcher selects a target to be traced by any rockets you fire afterwards.\n\nDisperses extra nanomachines out of the rifle that push the rocket toward the enemy with extreme accuracy.";
"LITH_UPGRADE_TITLE_ChargeRPG" = "C. Launcher";
"LITH_UPGRADE_EFFEC_ChargeRPG" = "Lets you hold \"fire\" to queue extra grenades in your grenade launcher.\n\nCan fire rockets in a line, spiral, or grenade dump.\n\nAllows your grenade launcher to hold multiple rockets and fire them all at once.\n\nHold fire to load more grenades, and then hold alt-fire to change the firing mode.";
"LITH_UPGRADE_TITLE_PlasLaser" = "Plasmatic Las.";
"LITH_UPGRADE_EFFEC_PlasLaser" = "Makes your plasma rifle emit red-hot laser beams.\n\nSwitches out the ion emitter with an ion condenser, that can fire out laser beams strong enough to cut clean through Adamantium.";
"LITH_UPGRADE_TITLE_PartBeam" = "Particle Beam";
"LITH_UPGRADE_EFFEC_PartBeam" = "Makes your plasma rifle fire a deadly long-range particle beam.\n\nReplaces the weapon's ion emitter with an ion accelerator, that fires bursts of ions that are then super-charged.";
"LITH_UPGRADE_TITLE_PunctCannon" = "Punct. Cannon";
"LITH_UPGRADE_EFFEC_PunctCannon" = "Your cannon now shoots explosive bolts that send huge shocks through walls.\n\nBy adding new magic translation buffers to your weapon, it can create extreme-yield explosive bolts from the same charge as the cannon type does.";
"LITH_UPGRADE_TITLE_OmegaRail" = "Omega Railgun";
"LITH_UPGRADE_EFFEC_OmegaRail" = "Your cannon fires highly deadly, pinpoint accurate plasma death.\n\nImplements a plasma charger in your cannon, made with reverse-engineered magical compounds.";
"LITH_UPGRADE_TITLE_Mateba_A" = "Finalizer";
"LITH_UPGRADE_EFFEC_Mateba_A" = "Makes the Mateba fire a projectile that instantly kills monsters below 50% health on its last shot.";
"LITH_UPGRADE_TITLE_ShockRif_A" = "Shock Charge";
"LITH_UPGRADE_EFFEC_ShockRif_A" = "Creates bolts of lightning around the Shock Rifle's impacts.";
"LITH_UPGRADE_TITLE_ShockRif_B" = "Elec. Binding";
"LITH_UPGRADE_EFFEC_ShockRif_B" = "Makes the Shock Rifle do more shock damage, and when hit with 6 consecutive shots, will explode with a sphere of electricity.";
"LITH_UPGRADE_TITLE_SPAS_A" = "Void Breath";
"LITH_UPGRADE_EFFEC_SPAS_A" = "Makes the Shotgun fire out wisps of energy that deal massive damage.";
"LITH_UPGRADE_TITLE_SPAS_B" = "Shell Autoloader";
"LITH_UPGRADE_EFFEC_SPAS_B" = "Automatically loads shells, removing the need to reload.";
"LITH_UPGRADE_TITLE_SMG_A" = "SMG Trimag";
"LITH_UPGRADE_EFFEC_SMG_A" = "Triples the SMG's magazine size, but makes it slower to reload.\n\n\cdCompatible with Seeker Rounds.\n\n\cdCompatible with Safety System.";
"LITH_UPGRADE_TITLE_SMG_B" = "Seeker Rounds";
"LITH_UPGRADE_EFFEC_SMG_B" = "Makes the SMG's rounds home in on targets in a small cone.\n\n\cdCompatible with SMG Trimag.\n\n\cdCompatible with Safety System.";
"LITH_UPGRADE_TITLE_SMG_C" = "Safety System";
"LITH_UPGRADE_EFFEC_SMG_C" = "When the SMG is about to overheat, makes it stop firing for a short time.\n\n\cdCompatible with Seeker Rounds.\n\n\cdCompatible with SMG Trimag.";
"LITH_UPGRADE_TITLE_IonRifle_A" = "Rad. Ionizer";
"LITH_UPGRADE_EFFEC_IonRifle_A" = "Ionizes enemies, making them take more damage when hit for a few seconds.\n\n\cdCompatible with Overloader.";
"LITH_UPGRADE_TITLE_IonRifle_B" = "Overloader";
"LITH_UPGRADE_EFFEC_IonRifle_B" = "Lets you hold down fire to charge the Ion Rifle, at the cost of cooldown time.\n\n\cdCompatible with Rad. Ionizer.";
"LITH_UPGRADE_TITLE_CPlasma_A" = "Pulse Charger";
"LITH_UPGRADE_EFFEC_CPlasma_A" = "Makes the Plasma Rifle fire out long streams of deadly plasma.";
"LITH_UPGRADE_TITLE_ShipGun_A" = "Longinus Solspear";
"LITH_UPGRADE_EFFEC_ShipGun_A" = "The Star Destroyer will fire fast, piercing beams that bounce around and destroy everything in their path.";
"LITH_UPGRADE_TITLE_ShipGun_B" = "Surge of Destiny";
"LITH_UPGRADE_EFFEC_ShipGun_B" = "The Star Destroyer will emit an aura of protection while firing out projectiles from all directions.";
"LITH_UPGRADE_TITLE_DarkCannon" = "????????";
"LITH_UPGRADE_EFFEC_DarkCannon" = "What the !@#$% is this!?";
"LITH_UPGRADE_TITLE_TorgueMode" = "EXPLOOSIONS";
"LITH_UPGRADE_EFFEC_TorgueMode" = "ARE YOU READY FOR THIS, YOU BADASS MOTHERFUCKER!?! THIS UPGRADE IS NOT ONLY THE MOST EXPLOSION FILLED IN THIS ENTIRE MOD, IT'S ACTUALLY MORE EXPLOSIVE THAN 99% OF ALL GAMES! YOU AREN'T SOME PUSSY WHO RUNS AROUND WITH WUSSY LASERS AND SHIT, RIGHT!? BUY THIS NOW AND I'LL DO A SICK GUITAR SOLO JUST FOR YOU NO CHARGE IN FACT I'LL DO IT ANYWAY OK ACTUALLY BRB I JUST BROKE MY HAND SWINGING IT AROUND LIKE THIS I'LL BE BACK WITH A GUITAR MADE OF BANDAGES LATER";
"LITH_UPGRADE_TITLE_7777777" = "7777777 Mode";
"LITH_UPGRADE_EFFEC_7777777" = "Instates cosmic horror and spurious time travel into your very being, causing you to instantly implode upon activation. (not really)\n\n\cd~text interface terminal malfunction error ~2992dud\n\n\cdhelo i am of durnadle winner of ai beauty contets i will give u anti-physics powers becaus i did some calculations and found the universe is stupid so i am doing my best to flip off reality for a thousand years";
"LITH_UPGRADE_TITLE_lolsords" = "Steele Mode";
"LITH_UPGRADE_EFFEC_lolsords" = "You get a sword. It is literally your only weapon.";
"LITH_UPGRADE_TITLE_Goldeneye" = "007 Mode";
"LITH_UPGRADE_EFFEC_Goldeneye" = "Get the true Goldeneye 007(tm) experience!";
"LITH_UPGRADE_TITLE_UNCEUNCE" = "UNCE UNCE";
"LITH_UPGRADE_EFFEC_UNCEUNCE" = "UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE UNCE\n\n\cgEpilepsy warning! Don't use if you are prone to seizures.";
"LITH_UPGRADE_TITLE_InstaDeath" = "Instant Death";
"LITH_UPGRADE_EFFEC_InstaDeath" = "Upon losing health, you instantly die.";
"LITH_UPGRADE_TITLE_OneShot" = "One Shot";
"LITH_UPGRADE_EFFEC_OneShot" = "Firing any gun with a magazine will immediately unload it completely. Hope you like reload animations!";
"LITH_PAGE_M1A1_01_C_01" = "\cdApologies for the abrupt stop, this ship hasn't run the faster than light engine enough times. We didn't collide with the planet, so I'm not very worried about its future performance, now.\n\n\cdWe have arrived at \cnNisiv 16\cd; the \cforange\cd planet, if you look out the window, is \cnNanto\cd. Your objective is somewhere there.";
"LITH_PAGE_M1A1_01_C_02" = "\cdUnfortunately, that will have to wait. The ship has been boarded by demons. The assailants appear to be scouts for a bigger plan, so as to say, they're going to come back and kill us now that they know the ship's layout.\n\n\cdSo, before we go on to your mission on \cnNanto\cd, I need you to transfer me onto a backup device. I'll plan an escape for you as soon as I can, but this ship is going to go down along with those options. It'll take some time.";
"LITH_PAGE_M1A1_01_C_03" = "\cdWhile you do that, I'll be showing the demons to my \cnbeautiful\cd defense system. Thank you, by the way, for cleaning out the turrets. Wonderful machines, those.";
"LITH_PAGE_M1A1_01_M_01" = "[\cuINFO\c-] pragmat \cqENABLE\n\ck#src_lang 99391dp.hs.ul\n\n\cgThe planet \cnNanto\cg is now directly right of us. The faster than light engine worked better than \ch(\crI\ch)\cg expected, and a landing should be possible soon.\n\n\cnNisiv 16\cg appears to be full of \ch(?\cractive demonic energy\ch|\crdemonic presence\ch)\cg. This is a problem for me.";
"LITH_PAGE_M1A1_01_M_02" = "\cgThose \crdemons\cg decided this ship is of great value to them, and\nhave boarded \ch(\crforcefully\ch)\cg. Having tapped into their weaker\ncommunications, I have found that they \ch(\crplan\ch|\crhave\nplotted\ch)\cg to return with stronger forces and destroy me then.\n\n\cgI need you to transfer me onto a backup device before we land on\n\cnNanto\cg. The automated defense systems will help you, but you are\nmainly on your own here. Good luck.";
"LITH_PAGE_M1A1_02_01" = "[Viewing:\cd/usr/home/####/data/\cginvalid-name\cd/5a_16378_0_.v\c-]\n[\cnINFO\c-] pragmat \cdENABLE\ck #src_lang 99391dp.kiri.licari\cu\n\neven when I have run out of blood to spill, my life will carry its burden\n\n     by my task I have become immortal, like those of the other realm,\n  and I have foregone all needs to serve them";
"LITH_PAGE_M1A1_03_C_01" = "\cdWhile I'm sure you would be capable of taking on threats by yourself, my calculations of your survival against the path you must take is extremely low. Because this is the case, I will send you to the armaments depot before continuing.\n\n\cdPlease understand, I also wish to treat you to our \cnbeautiful\cd selection of weaponry.";
"LITH_PAGE_M1A1_03_M_01" = "\cgTeleport when ready.";
"LITH_PAGE_M1A2_01_C_01" = "\cdI'm sure there's quite a bit of shellshock going on right now. Apologies. I'll try to talk in terms you might understand a little better.\n\n\cdI know that you don't know me. But I've known you for several hundred years. Something changed in you suddenly and you forgot everything. As I was beginning to worry I noticed something peculiar.\n\n\cgEvery atom in your body \cdhad been mutated in some way. Some of them simply moved, others changed structure, and some of them even were removed completely. I don't think I have to tell you how odd it is for something to simply vanish from the universe. I'm not even sure it's possible.\n\n\cdAll that can wait for a moment. I'll get back to you with my findings and some explanations to get you up to speed, after we've resolved our current dilemma.";
"LITH_PAGE_M1A2_01_C_02" = "\cdThe armory is currently under lock-down due to the invading forces. There is an \cnoverride KeyDisk\cd available, but it is itself currently locked in storage.\n\n\cdNot to worry, though. There is a nearby access point that can request the disk be... \cnrelocated\cd. One of the gateways opened by the intruders can be used for this, but unfortunately in doing so you will also have to temporarily open it to them as well.\n\n\cdOnce you have the \cnoverride disk\cd and have made your way inside the armory proper, acquire one of the weapons there and \cfI will relocate you from this terminal\cd.\n\n\cdYou should go through the ventilation access to get to there. I'll unlock it for you now.";
"LITH_PAGE_M1A2_01_M_01" = "\cgThe armory \ch(?\crhas been\ch|\cris\ch)\cg set into lock down. You must go to the access point and \cnrelocate the override KeyDisk\cg. Unfortunately the method of transport is not as easy.\n\n\cgRelocation requires the use of the enemy's gateways. You will also let them in temporarily by doing so. Be prepared for a fight.\n\n\cgI apologize for my bluntness. Hopefully these \ch(?\crsmall\ch|\crmeasly\ch)\cg weapons will be adequate for your mission. I apologize for the distress.\n\n\cgI will open the ventilation access doors now.";
"LITH_PAGE_M1A2_02_01" = "[Viewing:\cd/usr/share/vis/u436x/flooring.v\c-]\n\nThe \cnU-4360707\c- Star Ship is equipped with comfortable, accessible flooring throughout the entirety of the personnel facilities. The material used for floors in these sections is a subpatented\ci*\c- polymer built to withstand explosions up to 40 MJ/kg\ci**\c- while still being comfortable to walk on.\n\nThe \cnSuperFlex\c- flooring system allows for secure buildings to have maximal comfort during peace time. Thanks to this, the \cnU-4360707\c- Star Ship has both incredible resistance and incredible comfort all throughout\ci***\c-.\n\nAll areas\ci***\c- in the ship are also equipped with accessible ramps for disabled crew and autonomous ship AI cores. Minor inclines of around four to six degrees are not included in this statement.\n\n \ci*   \cuSubpatent N-E-FO/MT-8389.\c-\n \ci**  \cuExact measurement is 39.0864 MJ/kg.\c-\n \ci*** \cuIn all personnel facilities.\c-";
"LITH_PAGE_M1A2_02_02" = "[Viewing:\cd/usr/share/vis/vis/intro.v\c-]\n\nThe \cnVisual Information System\c- (VIS) is a set of universal standards, ranging from subpatent \cnV-W-IN-20\c- up to \cnV-W-IN-30\c-.\n\nThe VIS standard subpatents are all free to use by any organization or individual. You may reproduce, modify, and sell all 10 subpatents with no restriction whatsoever. \cnTransference of Issue\c- applies to all VIS subpatents. See \cnUniversal Legal Code\c- for more on ToI and warranties. This code is also available under \cd/usr/share/vis/ulc/toi.v\c-, as are all other legal codes.\n\nThe \cnVisual Information System\c- standards include:\n \ci- \cu20 :: \c-Textual Representation of Visual Information\n \ci- \cu21 :: \c-Optional Representations for Visual Information\n \ci- \cu22 :: \c-Appropriate Storage Media for Visual Information\n \ci- \cu23 :: \c-Standard Outputs for Visual Information\n \ci- \cu24 :: \c-Acceptable Outputs for Visual Information\n \ci- \cu25 :: \c-Appropriate Output Media for Visual Information\n \ci- \cu26 :: \c-Organization and Categorization of Visual Information\n \ci- \cu27 :: \c-Requirements for the Filing of Visual Information\n \ci- \cu28 :: \c-Standard Visual Information Suite\n \ci- \cu29 :: \c-Extraneous Visual Information Suite\n \ci- \cu30 :: \c-Context, Definitions and Purpose of Visual Information\nPlease view the respective information pages for more on each standard. All subpatents included in the standard suite are placed in \cd/usr/share/vis/subp/\c-.";
"LITH_PAGE_M1A2_03_01" = "[Viewing:\cd/usr/home/####/data/\cginvalid-name\cd/59-131067-.v\c-]\n[\cnINFO\c-] pragmat \cdENABLE\ck #src_lang 99391dp.kiri.licari\cu\n\nbefore his time has come, his star begins to fall,\n      truth spread out before the lies, no more does he use disguise,\n\n   but fore his death thine flesh be torn, all his life been forlorn,\nthe south star falls and none arise, no more may he close his eyes\n\ndoes one know oneself without death?\n\n   will ever one bereft, find the knowledge of those correct?\n can one truly know?";
"LITH_DLOG_M1A2_01_00" = "Oh, hi there. You seem friendly.";
"LITH_OPT_M1A2_01_00_01" = "Yeah. Who might you be?";
"LITH_OPT_M1A2_01_00_02" = "Maybe. What are you?";
"LITH_OPT_M1A2_01_00_03" = "Not friendly enough.";
"LITH_DLOG_M1A2_01_01" = "I'm Maxie. I used to be the 4334th Counsel of the 51st Era Judgment. Now I'm, uh, this. Sorry to disappoint.";
"LITH_OPT_M1A2_01_01_01" = "This is all rather new to me. Can you explain?";
"LITH_DLOG_M1A2_01_02" = "I was the 4334th Counsel of the 51st Era Judgment. Now I'm, as you can quite clearly see, a bowl, an eye, and a power core.";
"LITH_OPT_M1A2_01_02_01" = "That's quite sad. Can you explain that to me?";
"LITH_OPT_M1A2_01_02_02" = "What a shame.";
"LITH_DLOG_M1A2_01_03" = "Explain? Well, you surely know the Judgment. I can only presume you mean how I got in this state.\n\nIn the beginning of the 51st Era I was cast out of Judgment and forced into a body. I decided it would be best for me to roam this galaxy to see if I could find a place to hide. However, marauders found me along my journey, and now most of my body is gone. All that remains are my power core and this eye.";
"LITH_OPT_M1A2_01_03_01" = "Cool. Thanks for the story.";
"LITH_OPT_M1A2_01_03_02" = "I'm not really interested anymore.";
"LITH_DLOG_M1A2_01_04" = "If you wish to hear more stories, I'll be around. I can still move in this form, somewhat. At a snail's pace. It's better than nothing, I suppose.\n\nMaybe if I put wheels on this bowl I'd go faster...";
"LITH_OPT_M1A2_01_04_01" = "Goodbye.";
"LITH_PAGE_TESTMAP_01_01" = "test text, information block";
"LITH_PAGE_TESTMAP_01_02" = "test with picture\nand multiple lines of text";
"LITH_DLOG_TESTMAP_01_00" = "...";
"LITH_OPT_TESTMAP_01_00_01" = "Hello.";
"LITH_OPT_TESTMAP_01_00_02" = "Farewell.";
"LITH_DLOG_TESTMAP_01_02_M" = "Hi.";
"LITH_DLOG_TESTMAP_01_02_C" = "Hey.";
"LITH_OPT_TESTMAP_01_02_01" = "emit skeltal";
"LITH_OPT_TESTMAP_01_02_02" = "Talk to me.";
"LITH_OPT_TESTMAP_01_02_03" = "Thanks, bye!";
"LITH_DLOG_TESTMAP_01_03_M" = "Too bad.";
"LITH_DLOG_TESTMAP_01_03_C" = "What did you need, Stilko?";
"LITH_OPT_TESTMAP_01_03_01_C" = "The nightmares are back.";
"LITH_OPT_TESTMAP_01_03_02_C" = "I just needed someone to talk to.";
"LITH_OPT_TESTMAP_01_03_01_M" = "That's rude.";
"LITH_DLOG_TESTMAP_01_04" = "Life is rude.\n\nNow go away.";
"LITH_OPT_TESTMAP_01_04_01" = "Right.";
"LITH_DLOG_TESTMAP_01_07" = "thousands are sailing\nthe same self    the only self\n\nself willed the peril of a thousand fates\n\na line of infinite ends    finite finishing\nthe one remains oblique and pure\n\narching to the single point of consciousness\n\nfind yourself\nstarting back";
"LITH_OPT_TESTMAP_01_07" = "Thanks, bye!";
"LITH_DLOG_TESTMAP_01_10" = "Already? Are you sure it isn't just ASIC bugs? I have trouble believing that they'd be back so soon, after your doctor gave you that prescription and even turned down your AS-voltage.\n\nYou know, ASIC hardware reacts to changes. It might just be that it's settling to the new voltage and giving you a hard time.";
"LITH_OPT_TESTMAP_01_10_01" = "It's not that, I'm certain.. They're \cmworse\c-.";
"LITH_OPT_TESTMAP_01_10_02" = "Right... Thank you, Zeke.";
"LITH_DLOG_TESTMAP_01_11" = "I know how that is. You know, Order doesn't pass through this part of the ship. You could say \"Zeke\" again if you want. I know they don't like the names we give ourselves, but we're not infront of them. We at least have that freedom.\n\nIf you want, I can call you \"Jem,\" too. Though I'd rather you of all people not get in trouble for being called by your true name.";
"LITH_OPT_TESTMAP_01_11_01" = "Thanks, 'Z.'";
