## ---------------------------------------------------------------------------|
##
## Distributed under the CC0 public domain license.
## By Alison Sanderson. Attribution is encouraged, though not required.
## See licenses/cc0.txt for more information.
##
## ---------------------------------------------------------------------------|
##
## Upgrades to be processed into C files.
##
## % denotes flags.
## + denotes a monster.
## = denotes an enumerated flag.
##
## ---------------------------------------------------------------------------|

=mif_full
=mif_angelic
=mif_dark

## Hexen (unused) ------------------------------------------------------------|

#%mif_full
#+ShotgunGuy  imp         Ettin
#+Imp         lostsoul    FireDemon
#+Arachnotron arachnotron CentaurLeader
#+Demon       demon       Centaur
#+Mancubus    hellknight  IceGuy
#+Mancubus    hellknight  SerpentLeader
#+Arachnotron hellknight  Serpent
#+HellKnight  hellknight  Demon1
#+BaronOfHell baron       Demon2
#+Cacodemon   mancubus    Bishop
#+HellKnight  lostsoul    Wraith
#+CyberDemon  cyberdemon  Dragon
#+CyberDemon  phantom     ClericBoss
#+CyberDemon  phantom     FighterBoss
#+CyberDemon  phantom     MageBoss
#+CyberDemon  cyberdemon  Heresiarch
#+DSparil     cyberdemon  Korax
#%

## Doom ----------------------------------------------------------------------|

+ZombieMan     zombie        ZombieMan
+ZombieMan     zombie        Zombieman
+ShotgunGuy    zombie        ShotgunGuy
+ShotgunGuy    zombie        Shotgunguy
+ChaingunGuy   zombie        ChaingunGuy
+ChaingunGuy   zombie        Chaingunguy
+Imp           imp           Imp
+Demon         demon         Demon
+Spectre       demon         Spectre
+LostSoul      lostsoul      LostSoul
+Mancubus      mancubus      Fatso
+Mancubus      mancubus      Mancubus
+Arachnotron   arachnotron   Arachnotron
+Cacodemon     cacodemon     Cacodemon
+HellKnight    hellknight    Knight
+BaronOfHell   baron         Baron
+Revenant      revenant      Revenant
+PainElemental painelemental PainElemental
+Archvile      archvile      Archvile
+SpiderDemon   mastermind    SpiderMastermind
+CyberDemon    cyberdemon    Cyberdemon

## Chex Quest ----------------------------------------------------------------|

+Imp         imp        ArmoredFlemoidusBipedicus
+Imp         imp        Quadrumpus
+LostSoul    lostsoul   ChexSoul
+LostSoul    lostsoul   FlemMine
+BaronOfHell baron      Flembrane
+BaronOfHell baron      FlemoidusMaximus
+ShotgunGuy  zombie     FlemoidusBipedicus
+ZombieMan   zombie     FlemoidusCommonus
+Spectre     demon      FlemoidusCycloptisCommonus
+Demon       demon      FlemoidusStridicus
+Demon       demon      Larva
+Cacodemon   cacodemon  SuperCycloptis
+SpiderDemon mastermind Flembomination
+CyberDemon  cyberdemon Snotfolus

## Heretic -------------------------------------------------------------------|

+Imp         imp         Gargoyle
+Demon       demon       Golem
+Nitrogolem  demon       Nitrogolem
+Spectre     demon       Sabreclaw
+Cacodemon   mancubus    Disciple
+Ophidian    arachnotron Ophidian
+HellKnight  hellknight  Warrior
+BaronOfHell cacodemon   IronLich
+Maulotaur   mastermind  Maulotaur
+DSparil     cyberdemon  DSparil

## Lithium -------------------------------------------------------------------|

+1000 0 phantom    James
+2000 0 phantom    Makarov
+3000 0 phantom    Isaac
+0    0 cyberdemon Steggles

%mif_angelic
+CyberDemon angel Archangel
%

## Cheogsh.wad ---------------------------------------------------------------|

+Spectre demon Nightmare

%mif_full
+Imp         imp        Howler
+Imp         imp        SoulHarvester
+Spectre     demon      MaulerDemon
+BaronOfHell baron      HellWarrior
+CyberDemon  cyberdemon Cheogsh
%

## ed4_rfo1.wad --------------------------------------------------------------|

+DRLACaptain zombie      BazookaZombie
+Imp         imp         BatFamiliar
+Imp         imp         DragonFamiliar
+Imp         imp         SnakeImp
+Arachnotron arachnotron Arachnophyte
+Arachnotron arachnotron RailSpider

%mif_full
+CyberDemon    cacodemon     RealAbstractPain
+PainElemental painelemental EDPE
%

## dop.pk3 -------------------------------------------------------------------|

+LostSoul lostsoul LostGhoul

## DoomRL Arsenal Monsters ---------------------------------------------------|

+ZombieMan   zombie FormerHuman
+ShotgunGuy  zombie FormerSergeant
+ChaingunGuy zombie FormerCommando
+DRLACaptain zombie Former

## Shut Up and Lithium -------------------------------------------------------|

