## -*-Prog-*------------------------------------------------------------------|
##
## Distributed under the CC0 public domain license.
## By Alison Sanderson. Attribution is encouraged, though not required.
## See licenses/cc0.txt for more information.
##
## ---------------------------------------------------------------------------|
##
## Upgrades to be processed into C files.
##
## % denotes flags.
## + denotes a monster.
## = denotes an enumerated flag.
##
## ---------------------------------------------------------------------------|

=mif_full
=mif_angelic
=mif_dark

## Doom ----------------------------------------------------------------------|

+ZombieMan     zombie        ZombieMan
+ZombieMan     zombie        Zombieman
+ShotgunGuy    zombiesg      ShotgunGuy
+ShotgunGuy    zombiesg      Shotgunguy
+ChaingunGuy   zombiecg      ChaingunGuy
+ChaingunGuy   zombiecg      Chaingunguy
+Imp           imp           Imp
+Demon         demon         Demon
+Spectre       demon         Spectre
+LostSoul      lostsoul      LostSoul
+Mancubus      mancubus      Fatso
+Mancubus      mancubus      Mancubus
+Arachnotron   arachnotron   Arachnotron
+Cacodemon     cacodemon     Cacodemon
+HellKnight    hellknight    Knight
+BaronOfHell   baron         Baron
+Revenant      revenant      Revenant
+PainElemental painelemental PainElemental
+Archvile      archvile      Archvile
+SpiderDemon   mastermind    SpiderMastermind
+CyberDemon    cyberdemon    Cyberdemon

## Chex Quest ----------------------------------------------------------------|

+Imp         imp        FlemoidusBipedicus
+Imp         imp        Quadrumpus
+LostSoul    lostsoul   ChexSoul
+LostSoul    lostsoul   FlemMine
+BaronOfHell baron      Flembrane
+BaronOfHell baron      FlemoidusMaximus
+ZombieMan   zombie     FlemoidusCommonus
+Spectre     demon      FlemoidusCycloptisCommonus
+Demon       demon      FlemoidusStridicus
+Demon       demon      Larva
+Cacodemon   cacodemon  SuperCycloptis
+SpiderDemon mastermind Flembomination
+CyberDemon  cyberdemon Snotfolus

## Heretic -------------------------------------------------------------------|

+Imp         imp         Gargoyle
+Demon       demon       Golem
+Nitrogolem  demon       Nitrogolem
+Spectre     demon       Sabreclaw
+Cacodemon   mancubus    Disciple
+Ophidian    arachnotron Ophidian
+HellKnight  hellknight  UndeadWarrior
+HellKnight  hellknight  SpectralWarrior
+BaronOfHell cacodemon   IronLich
+Maulotaur   mastermind  Maulotaur
+DSparil     cyberdemon  DSparil

## Lithium -------------------------------------------------------------------|

%mif_full|mif_dark
+1000 0 phantom Lith_Boss_James
+2000 0 phantom Lith_Boss_Makarov
+3000 0 phantom Lith_Boss_Isaac
%

%mif_full
+0 0 cyberdemon Lith_Steggles
%

%mif_full|mif_angelic
+CyberDemon angel Lith_Archangel
%

## ed4_rfo1.wad --------------------------------------------------------------|

%mif_full
+DRLACaptain   zombie        BazookaZombie
+Imp           imp           BatFamiliar
+Imp           imp           DragonFamiliar
+Arachnotron   arachnotron   Arachnophyte
+Arachnotron   arachnotron   RailSpider
+CyberDemon    cacodemon     RealAbstractPain
+PainElemental painelemental EDPE
%

## dop.pk3 -------------------------------------------------------------------|

+LostSoul lostsoul LostGhoul

## Rampancy ------------------------------------------------------------------|

%mif_full
+ZombieMan     zombie        Robot_SentryBot
+ShotgunGuy    zombiesg      Robot_DefenderBot
+ChaingunGuy   zombiecg      Robot_SecurityBotSmall
+Imp           imp           Robot_SoldierBot
+Demon         demon         Robot_SpiderBotSmall
+Spectre       demon         Robot_StealthDroid
+LostSoul      lostsoul      Robot_ScoutDrone
+Cacodemon     cacodemon     Robot_AssaultDrone
+HellKnight    hellknight    Robot_SecurityBot $
+BaronOfHell   baron         Robot_DreadnoughtBot
+Arachnotron   arachnotron   Robot_SpiderBot $
+PainElemental painelemental Robot_FabricationNode
+Revenant      revenant      Robot_RollerDroid
+Mancubus      mancubus      Robot_MaintenanceBot
+Archvile      archvile      Robot_RepairBot
+CyberDemon    cyberdemon    Robot_MilitaryBot
+SpiderDemon   mastermind    Robot_LoaderBot
+AIMainframe   mastermind    Robot_BossEye
+ChaingunGuy   zombie        Robot_GunTurret
%

## Shut Up and Lithium -------------------------------------------------------|

+ZombieMan     imp         Remnant
+ZombieMan     imp         Roach
+Imp           imp         Turmoil
+ShotgunGuy    imp         Pitkis
