## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

!!include Log/Random.txt

## Health ════════════════════════════════════════════════════════════════════╕
== \#LOG_HealthBonus | $$\#INFO_SHORT_HealthBonus
== \#LOG_Medikit     | $$\#INFO_SHORT_Medikit
== \#LOG_MegaSphere  | Mega Charge!
== \#LOG_SoulSphere  | Super Charge!
== \#LOG_StimPack    | $$\#INFO_SHORT_Stimpack

## Keys ══════════════════════════════════════════════════════════════════════╕
== \#LOG_RedCard     | \cgRed KeyDisk
== \#LOG_BlueCard    | \chBlue KeyDisk
== \#LOG_YellowCard  | \ckYellow KeyDisk
== \#LOG_RedSkull    | \cgRed Skull
== \#LOG_BlueSkull   | \chBlue Skull
== \#LOG_YellowSkull | \ckYellow Skull

## Powerups ══════════════════════════════════════════════════════════════════╕
== \#LOG_RadSuit      | Radiation Shielding Suit
== \#LOG_InfraRed     | $$\#INFO_SHORT_Infrared
== \#LOG_Invuln       | \cjInvulnerability!
== \#LOG_BlurSphere   | $$\#INFO_SHORT_Fragma
== \#LOG_Backpack     | $$\#INFO_SHORT_Backpack
== \#LOG_Berserk      | $$\#INFO_SHORT_Berserk
== \#LOG_AllMap       | $$\#INFO_SHORT_AllMap
== \#LOG_DoggoSphere  | \cgwan \ciwan \ckwan \cdwan \chwan \ctwan
== \#LOG_Dogs         | Picked up dogs.
== \#LOG_ShobonSphere | ( -w-)
== \#LOG_ArtiFly      | Wings of Wrath
== \#LOG_ArtiTeleport | Chaos Device

## Ammo ══════════════════════════════════════════════════════════════════════╕
== \#LOG_Clip      | $$\#TAG_BulletAmmo
== \#LOG_ClipBox   | Box of Bullets
== \#LOG_Shell     | $$\#TAG_ShellAmmo
== \#LOG_ShellBox  | Box of Shells
== \#LOG_Rocket    | Rocket
== \#LOG_RocketBox | Box of Rockets
== \#LOG_Cell      | Energy Charge
== \#LOG_CellBox   | Tainted Energy Pack

## Bonuses ═══════════════════════════════════════════════════════════════════╕
== \#LOG_Coin       | Coin
== \#LOG_ScoreChip  | $$\#INFO_SHORT_ScoreChip
== \#LOG_Ruby       | Flawed Ruby
== \#LOG_Sapphire   | Flawed Sapphire
== \#LOG_Amethyst   | Flawed Amethyst
== \#LOG_Diamond    | Flawed Diamond
== \#LOG_Emerald    | Flawed Emerald
== \#LOG_Scheelite  | Scheelite
== \#LOG_Nambulite  | Nambulite
== \#LOG_Lepidolite | Lepidolite
== \#LOG_Petalite   | Petalite
== \#LOG_Tourmaline | Tourmaline

## CBI Upgrades (Marine) ═════════════════════════════════════════════════════╕
== \#LOG_CBI_MUpgr1      | $$\#CBI_CPU2
== \#LOG_CBI_MUpgr2      | $$\#CBI_CPU3
== \#LOG_CBI_MArmorInter | $$\#CBI_ArmorInter
== \#LOG_CBI_MWeapnInter | $$\#CBI_WeapnInter
== \#LOG_CBI_MWeapnInte2 | $$\#CBI_WeapnInte2
== \#LOG_CBI_MRDistInter | $$\#CBI_RDistInter

## CBI Upgrades (Cyber-Mage) ═════════════════════════════════════════════════╕
== \#LOG_CBI_CSlot3Spell | $$\#CBI_Slot3Spell
== \#LOG_CBI_CSlot4Spell | $$\#CBI_Slot4Spell
== \#LOG_CBI_CSlot5Spell | $$\#CBI_Slot5Spell
== \#LOG_CBI_CSlot6Spell | $$\#CBI_Slot6Spell
== \#LOG_CBI_CSlot7Spell | $$\#CBI_Slot7Spell
== \#LOG_CBI_CRDistInter | $$\#CBI_RDistInter

## CBI Upgrades (Dark Lord) ══════════════════════════════════════════════════╕
== \#LOG_CBI_DMotra     | $$\#INFO_SHORT_Motra
== \#LOG_CBI_DZaruk     | $$\#INFO_SHORT_Zaruk
== \#LOG_CBI_DZakwu     | $$\#INFO_SHORT_Zakwu
== \#LOG_CBI_DZikr      | $$\#INFO_SHORT_Zikr
== \#LOG_CBI_DShield    | $$\#INFO_SHORT_Shield
== \#LOG_CBI_DDimDriver | $$\#INFO_SHORT_DimDriver

## Level Up ══════════════════════════════════════════════════════════════════╕
== \#LOG_LevelUpLane | You feel stronger, somehow.
== \#LOG_LevelUpJem  | [INFO] Memory restored: %iKiB
== \#LOG_LevelUpFulk | \cj<\cdVital\cj>\c- :: %i inodes reclaimed.
== \#LOG_LevelUpOmi  | You're having fun with this.
== \#LOG_LevelUpAri  | You're starting to get somewhere.
== \#LOG_LevelUpLuke | Your senses grow sharper.
== \#LOG_LevelUpKiri | You feel some of your power return to you.

## Auto-groups ═══════════════════════════════════════════════════════════════╕
== \#LOG_AutoBuy1 | Auto-bought \cj%i\c- upgrade%s in \caSet 1\c-.
== \#LOG_AutoBuy2 | Auto-bought \cj%i\c- upgrade%s in \cdSet 2\c-.
== \#LOG_AutoBuy3 | Auto-bought \cj%i\c- upgrade%s in \cnSet 3\c-.
== \#LOG_AutoBuy4 | Auto-bought \cj%i\c- upgrade%s in \cfSet 4\c-.

== \#LOG_GroupBuy1 | Bought \c%c%i/%i\c- upgrade%s in \caSet 1\c-.
== \#LOG_GroupBuy2 | Bought \c%c%i/%i\c- upgrade%s in \cdSet 2\c-.
== \#LOG_GroupBuy3 | Bought \c%c%i/%i\c- upgrade%s in \cnSet 3\c-.
== \#LOG_GroupBuy4 | Bought \c%c%i/%i\c- upgrade%s in \cfSet 4\c-.

== \#LOG_GroupBuy5 | No items to buy in \caSet 1\c-.
== \#LOG_GroupBuy6 | No items to buy in \cdSet 2\c-.
== \#LOG_GroupBuy7 | No items to buy in \cnSet 3\c-.
== \#LOG_GroupBuy8 | No items to buy in \cfSet 4\c-.

== \#LOG_GroupToggle1 | Toggled \caSet 1\c-.
== \#LOG_GroupToggle2 | Toggled \cdSet 2\c-.
== \#LOG_GroupToggle3 | Toggled \cnSet 3\c-.
== \#LOG_GroupToggle4 | Toggled \cfSet 4\c-.

== \#LOG_GroupToggle5 | No items to toggle in \caSet 1\c-.
== \#LOG_GroupToggle6 | No items to toggle in \cdSet 2\c-.
== \#LOG_GroupToggle7 | No items to toggle in \cnSet 3\c-.
== \#LOG_GroupToggle8 | No items to toggle in \cfSet 4\c-.

## Misc ══════════════════════════════════════════════════════════════════════╕
== \#LOG_Version  | Lithium %s :: Compiled %s
== \#LOG_MailRecv | Mail received from <\cj%s\c->.

== \#LOG_CBI | Installed %S.

== \#LOG_ActiveArmor | Activating Armor->%s()

== \#LOG_AdrenalineReady | Adrenaline injector ready.
== \#LOG_AdrenalineUsed  | Adrenaline administered.

== \#LOG_Bought    | Bought %S
== \#LOG_Delivered | \cjItem delivered.
@@ \#LOG_NoDeliver
\cgCouldn't deliver item\c-, placing directly in inventory.

## EOF
