## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Marrub / Alison.  Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

== \#MARKER_Unknown | Unknown

== \#MARKER_M1A1_EscapePod   | Escape Pod 02C3
== \#MARKER_M1A1_Maintenance | Maintenance Area
== \#MARKER_M1A1_Quarters    | Personal Quarters
== \#MARKER_M1A1_TeleportBay | Teleport Bay 1E14

== \#MARKER_LITHABYS_Court       | Court of Sins
== \#MARKER_LITHABYS_Garden      | Garden
== \#MARKER_LITHABYS_Inescapable | Inescapable Prison
== \#MARKER_LITHABYS_Library     | Library of Memories
== \#MARKER_LITHABYS_Sight       | Room of Sight
== \#MARKER_LITHABYS_Sludge      | Sludge Factory
== \#MARKER_LITHABYS_WhatWas     | Ruins of What Was

## EOF
