## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

## UI ════════════════════════════════════════════════════════════════════════╕
== \#ACTIVATE   | Activate
== \#AUTOGROUPS | Active Auto-groups
== \#BUY        | Buy
== \#CATEGORY   | Category
== \#CLEAR      | Clear
== \#CLOSE      | Close
== \#DEACTIVATE | Deactivate
== \#DISCARD    | Discard
== \#DOWN       | Down
== \#EDIT       | Edit
== \#EFFECT     | Effect:
== \#EMPTY      | <empty>
== \#EQUIP      | Equip
== \#FREE       | Free
== \#LEFT       | Left
== \#MOVE       | Move
== \#NOTE_FMT   | \cmNote %i
== \#OPEN       | Open
== \#REQUIRED   | Required
== \#RIGHT      | Right
== \#SELL       | Sell
== \#UP         | Up
== \#USE        | Use

== \#CAT_BODY | \cnBody
== \#CAT_WEAP | \caWeapon
== \#CAT_EXTR | \cfExtra
== \#CAT_DOWN | \ctDowngrade
== \#CAT_ALL  | All

== \#CAT_FILTER | Filter: %S

== \#TERM_DISCONNECTING | Disconnecting...
== \#TERM_IP            | <55.883.115.7>
== \#TERM_SGXLINE       | SGXLine r4205
== \#TERM_USE_TO_ACK    | Use To Acknowledge
== \#TERM_OPEN_CONNECT  | Opening Connection to
== \#TERM_REMOTE        | Remote:

== \#GUI_TEXTBOX | [Click to insert text]

== \#TAB_ARSENAL_Lane | Arsenal
== \#TAB_ARSENAL_Jem  | Directives
== \#TAB_ARSENAL_Fulk | Rig
== \#TAB_ARSENAL_Omi  | Gear
== \#TAB_ARSENAL_Ari  | $\#TAB_ARSENAL_Omi
== \#TAB_ARSENAL_Luke | Presages
== \#TAB_ARSENAL_Kiri | Requests

== \#TAB_STATUS    | Status
== \#TAB_INVENTORY | Inventory
== \#TAB_INFO      | Info
== \#TAB_SETTINGS  | Settings

== \#TAB_ATTRIBUTES | Attributes
== \#TAB_CBI        | CBI

== \#TAB_BIP        | BIP
== \#TAB_LOG        | Log
== \#TAB_STATISTICS | Statistics
== \#TAB_NOTES      | Notes

== \#TAB_UPGRADES | $\#BIP_NAME_UPGRADES
== \#TAB_SHOP     | Shop

== \#STATUS_XP | Experience
== \#STATUS_HP | Health
== \#STATUS_LV | Level
== \#STATUS_MP | $\#TAG_ManaAmmo
== \#STATUS_NX | Next
== \#STATUS_CL | Class

== \#STATUS_LEVELUP | Divide %i points among your attributes.

== \#ON  | On
== \#OFF | Off

%% \#SKIP_INTRO_1
: Skip intro
It will not show up again.

%% \#SKIP_INTRO_2
: Continue to next page

%% \#BAD_TIMELINE
This timeline is


           irreparable,

 and cannot continue.

You must start

\cganew.

== \#BEGIN | [Press any key to begin]

## BIP ═══════════════════════════════════════════════════════════════════════╕
== \#BIP_AVAILABLE  | %i/%i AVAILABLE
== \#BIP_BACK       | <BACK
== \#BIP_CATEGS     | INFO CATEGORIES
== \#BIP_HEADER     | BIOTIC INFORMATION PANEL ver2.5
== \#BIP_NO_RESULTS | No results

## Results ═══════════════════════════════════════════════════════════════════╕
== \#RES_RESULTS  | RESULTS
== \#RES_KILL     | ELIMINATED %.1lk%%
== \#RES_ITEM     | ARTIFACTS %.1lk%%
== \#RES_SCRT     | HIDDEN AREAS %.1lk%%
== \#RES_KILL100  | ALL ELIMINATED
== \#RES_ITEM100  | ALL ARTIFACTS
== \#RES_SCRT100  | ALL SECRETS
== \#RES_PAR      | SPEED BONUS
== \#RES_SPONSOR  | SPONSORSHIP
== \#RES_TOTAL    | TOTAL
== \#RES_TAX      | Tax
== \#RES_SUBTOTAL | Subtotal
== \#RES_PAYMENT  | PAYMENT
== \#RES_ACCOUNT  | Checking Acct.
%% \#RES_CLOSED
\c%cTRANSACTION
CLOSED

## Shop ══════════════════════════════════════════════════════════════════════╕
== \#SHOP_CANT_ACTIVATE | Activating requires \ca%i\cbPerf\c-.
== \#SHOP_ACTIVATE_USES | Activating will use \ca%i\cbPerf\c-.
== \#SHOP_DISABLE_SAVES | Disabling saves \cn%i\cbPerf\c-.

== \#SHOP_MUL_ENABLE  | Enabling will multiply score by \c%c%i\c-%%
== \#SHOP_MUL_DISABLE | Disabling will multiply score by \c%c%i\c-%%

## CBI Items ═════════════════════════════════════════════════════════════════╕
== \#CBI_PERF | Performance: %i\cbPerf
== \#CBI_PUSE | In use: %i\cbPerf
== \#CBI_WRAM | RAM: %iTiB

== \#CBI_INTERFACES | Interfaces Installed:

== \#CBI_WeapnInter | Weapon Modification Device
== \#CBI_WeapnInte2 | Weapon Refactoring Device
== \#CBI_ArmorInter | Armor Interface
== \#CBI_RDistInter | Reality Distortion Interface
== \#CBI_ReactArmor | $\#UPGRADE_TITLE_ReactArmor

== \#CBI_Slot1Spell | \ciBlade Spell Driver
== \#CBI_Slot2Spell | \ciDelear Spell Driver
== \#CBI_Slot3Spell | \ciFeuer Spell Driver
== \#CBI_Slot4Spell | \ciRomyetya Spell Driver
== \#CBI_Slot5Spell | \ciHulgyon Spell Driver
== \#CBI_Slot6Spell | \ciHosh'danma Spell Driver
== \#CBI_Slot7Spell | \cgCercle de la Mort Spell Driver

== \#CBI_CPU1 | OFMD Spec. Nodea 541 Basic CPU
== \#CBI_CPU2 | KSKK Spec. Z6808 High-Grade CPU
