## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

!!include Log/Random.txt

## Health --------------------------------------------------------------------|
== \#LOG_MegaSphere  | メガチャージ！
== \#LOG_SoulSphere  | スーパーチャージ！

## Keys ----------------------------------------------------------------------|
== \#LOG_RedCard     | \cg赤キーディスク
== \#LOG_BlueCard    | \ch青キーディスク
== \#LOG_YellowCard  | \ck黄キーディスク
== \#LOG_RedSkull    | \cg赤スカルキー
== \#LOG_BlueSkull   | \ch青スカルキー
== \#LOG_YellowSkull | \ck黄スカルキー

## Powerups ------------------------------------------------------------------|
== \#LOG_RadSuit      | 放射線遮蔽スーツ
== \#LOG_Invuln       | 不死身!
== \#LOG_Backpack     | バックパックと割引カード
== \#LOG_DoggoSphere  | \cgわん\ciわん\ckわん\cdわん\chわん\ctわん
== \#LOG_Dogs         | 犬を得た
== \#LOG_ShobonSphere | (´・ω・｀）

## Ammo ----------------------------------------------------------------------|
== \#LOG_ClipBox   | 弾箱
== \#LOG_ShellBox  | シェル箱
== \#LOG_Rocket    | $\#TAG_RocketAmmo
== \#LOG_RocketBox | ロケット箱
== \#LOG_Cell      | エナジーチャージ
== \#LOG_CellBox   | 染まったエナジーパック

## Bonuses -------------------------------------------------------------------|
== \#LOG_Coin       | コイン
== \#LOG_Ruby       | 欠けたルビー
== \#LOG_Sapphire   | 欠けたサファイア
== \#LOG_Amethyst   | 欠けたアメジスト
== \#LOG_Diamond    | 欠けたダイヤモンド
== \#LOG_Emerald    | 欠けたエメラルド
== \#LOG_Scheelite  | シェーライト
== \#LOG_Nambulite  | ナンブライト
== \#LOG_Lepidolite | レピドライト
== \#LOG_Petalite   | ペタライト
== \#LOG_Tourmaline | トルマリン

## Level Up ------------------------------------------------------------------|
== \#LOG_LevelUpStan | なぜか、強くなった感じがした。
== \#LOG_LevelUpJem  | [INFO] メモリー復元: %iＫｉＢ
== \#LOG_LevelUpFulk | \cj＜\cdVital\cj＞\c- :: %iの inode 再生。
== \#LOG_LevelUpAri  | こりゃ楽しみだ。

## Boss Warnings -------------------------------------------------------------|
%% \#LOG_BossWarnStan
\cg[注意]：付近に高濃度デーモンエナジーを検出。

%% \#LOG_BossWarnJem
\cr[警告] 付近のデーモンエナジーレベルが不安定に上昇。

%% \#LOG_BossWarnFulk
\cj＜\ciケイコク\cj＞\c- LL スゴクタカイ デーモンエナジーレベル。イソギ デモト ハカイセヨ。

%% \#LOG_BossWarnAri
\cg付近に大量のデーモンエナジーを検出。

## Misc ----------------------------------------------------------------------|
== \#LOG_StartGame | ”%jS”でメニューを開く。
== \#LOG_MailRecv  | ＜\cj%s\c-＞からメールを受信した。

== \#LOG_SellOrder | 1
== \#LOG_Sell | %lli\cnscr\c-で%Sを売った。
== \#LOG_CBI  | %Sはインストールされた。

## EOF
