## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

== \#st_name_lvsys_0 | おまかせ
== \#st_name_lvsys_1 | 半分手動
== \#st_name_lvsys_2 | 手動

== \#st_name_expbar_5  | 森
== \#st_name_expbar_6  | ミント
== \#st_name_expbar_7  | 空色
== \#st_name_expbar_8  | パソコン風
== \#st_name_expbar_9  | 深紫
== \#st_name_expbar_11 | ピンク
== \#st_name_expbar_12 | もっとピンク

== \#ST_NAME_Theme_0 | グリーン
== \#ST_NAME_Theme_1 | ローズピーチ
== \#ST_NAME_Theme_2 | シーブルー
== \#ST_NAME_Theme_3 | エンダーレッド
== \#ST_NAME_Theme_4 | オレンジ
== \#ST_NAME_Theme_5 | グレー
== \#ST_NAME_Theme_6 | バシリッサ
== \#ST_NAME_Theme_7 | ゴースト
== \#ST_NAME_Theme_8 | ウィンドウズXP
== \#ST_NAME_Theme_9 | ドンキーコング

== \#st_name_color_97  | レンガ
== \#st_name_color_98  | 小麦色
== \#st_name_color_99  | 灰色
== \#st_name_color_100 | 緑
== \#st_name_color_101 | 茶色
== \#st_name_color_102 | 金ピカ
== \#st_name_color_103 | 赤
== \#st_name_color_104 | 青
== \#st_name_color_105 | オレンジ
== \#st_name_color_106 | 白
== \#st_name_color_107 | 黄色
== \#st_name_color_108 | デフォルト
== \#st_name_color_109 | 黒
== \#st_name_color_110 | 淡い青
== \#st_name_color_111 | クリーム
== \#st_name_color_112 | オリーブ
== \#st_name_color_113 | 深緑
== \#st_name_color_114 | 濃い赤
== \#st_name_color_115 | 濃い茶色
== \#st_name_color_116 | 紫
== \#st_name_color_117 | 濃い灰色
== \#st_name_color_118 | 水色
== \#st_name_color_119 | 氷色
== \#st_name_color_120 | 炎
== \#st_name_color_121 | サファイア
== \#st_name_color_122 | 鴨の羽色
== \#st_name_color_123 | クラスの色
== \#st_name_color_131 | レイン赤
== \#st_name_color_132 | レイン暗オレンジ
== \#st_name_color_133 | レインオレンジ
== \#st_name_color_134 | レイン黄色
== \#st_name_color_135 | レイン黄緑色
