## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

## UI ════════════════════════════════════════════════════════════════════════╕
== \#ACTIVATE   | 起動
== \#AUTOGROUPS | アクティブオートグループ
== \#BUY        | 買う
== \#CATEGORY   | 種類
== \#CLEAR      | クリア
== \#CLOSE      | 閉じる
== \#DEACTIVATE | 解除
== \#DISCARD    | 捨てる
== \#DOWN       | 下へ
== \#EDIT       | 編集
== \#EFFECT     | 効果
== \#EMPTY      | 空
== \#EQUIP      | 装備
== \#FREE       | 無料
== \#LEFT       | 左へ
== \#MOVE       | 動く
== \#NOTE_FMT   | \cm%iつのノート
== \#OPEN       | 開ける
== \#REQUIRED   | 必要
== \#RIGHT      | 右へ
== \#SELL       | 売る
== \#UP         | 上へ
== \#USE        | 使う

== \#CAT_BODY | \cn素体
== \#CAT_WEAP | \ca武器
== \#CAT_EXTR | \cfおまけ
== \#CAT_DOWN | \ct格下げ
== \#CAT_ALL  | 全て

== \#CAT_FILTER | ﾌｨﾙﾀｰ: %S

== \#TERM_DISCONNECTING | 切断中...
== \#TERM_USE_TO_ACK    | 使うで確認します
== \#TERM_OPEN_CONNECT  | 接続を開きます:
== \#TERM_REMOTE        | 遠隔:

== \#GUI_TEXTBOX | [ここにクリックして入力開始]

== \#TAB_ARSENAL_Lane | 兵器
== \#TAB_ARSENAL_Jem  | 指令
== \#TAB_ARSENAL_Ari  | 機体

== \#TAB_STATUS    | ステータス
== \#TAB_INVENTORY | 所持品
== \#TAB_INFO      | インフォ
== \#TAB_SETTINGS  | 設定

== \#TAB_ATTRIBUTES | 属性
== \#TAB_CBI        | ＣＢＩ

== \#TAB_BIP        | ＢＩＰ
== \#TAB_LOG        | ログ
== \#TAB_STATISTICS | 統計
== \#TAB_NOTES      | ノート

== \#TAB_SHOP | ショップ

== \#STATUS_XP | 経験値
== \#STATUS_HP | 体力
== \#STATUS_LV | レベル
== \#STATUS_NX | 次のレベルまで

== \#STATUS_LEVELUP | 現在%iポイントをステータスに割り当てられます。

== \#ON  | オン
== \#OFF | オフ

%% \#SKIP_INTRO_1
を長押しするとイントロをスキップできます。
このメッセージはこれ以降表示されません。

%% \#SKIP_INTRO_2
を長押しして続ける

%% \#BAD_TIMELINE
このタイムラインは


           治し方がナイ

 ので、続けぬ。

始まりからの

\cgハジメルベシ。

== \#BEGIN | [どれかのキーを押して始める]

## BIP ═══════════════════════════════════════════════════════════════════════╕
== \#BIP_AVAILABLE  | %i/%i 使用可能
== \#BIP_BACK       | <戻る
== \#BIP_NO_RESULTS | 該当なし

## Results ═══════════════════════════════════════════════════════════════════╕
== \#RES_RESULTS  | 結果発表
== \#RES_KILL     | 倒した敵 %.1lk%%
== \#RES_ITEM     | 集めたアイテム %.1lk%%
== \#RES_SCRT     | シークレット発見率 %.1lk%%
== \#RES_KILL100  | 殲滅ボーナス
== \#RES_ITEM100  | 収集完了ボーナス
== \#RES_SCRT100  | 宝探しボーナス
== \#RES_PAR      | スピードランボーナス
== \#RES_SPONSOR  | スポンサーからの支払い
== \#RES_TOTAL    | 合計
== \#RES_TAX      | 税
== \#RES_SUBTOTAL | 小計
== \#RES_PAYMENT  | 支払い
== \#RES_ACCOUNT  | 口座確認中...

## Shop ══════════════════════════════════════════════════════════════════════╕
== \#SHOP_CANT_ACTIVATE | この機能を起動するには\ca%i\cbPerf\c-必要です。
== \#SHOP_ACTIVATE_USES | この機能を起動すると\ca%i\cbPerf\c-消費します。
== \#SHOP_DISABLE_SAVES | この機能を切断すると\cn%i\cbPerf\c-獲得します。

== \#SHOP_MUL_ENABLE  | この機能はスコア入手量を\c%c%i\c-%%　倍にします
